1.000000000000000021e-02 5.730675373003259132e+00 8.979098521066873617e-02 2.100000000000000000e+04 1.407953271080131685e+01 4.968192332884281415e-01 6.440000000000000000e+04 -7.141514582862004801e+00 1.266869350094257030e+01 5.048680734512770441e-01
2.000000000000000042e-02 6.069541984044054317e+00 1.135374769544246210e-01 4.200000000000000000e+04 1.430970807358635888e+01 5.168288851477879087e-01 1.288000000000000000e+05 -7.141514582862004801e+00 1.323773547476841017e+01 5.291529601129354443e-01
2.999999999999999889e-02 6.039267934317711806e+00 9.843448256622966408e-02 6.300000000000000000e+04 1.409928225589729145e+01 4.475985742456913830e-01 1.932000000000000000e+05 -7.141514582862004801e+00 1.299703560735299845e+01 4.582944806833888496e-01
4.000000000000000083e-02 6.088196362764602299e+00 1.005814770989576501e-01 8.400000000000000000e+04 1.340014921029203343e+01 4.589960160738276729e-01 2.576000000000000000e+05 -7.141514582862004801e+00 1.234683099019462915e+01 4.698871953001630963e-01
5.000000000000000278e-02 5.971697710453766739e+00 8.347079548802013860e-02 1.050000000000000000e+05 1.264694059468269316e+01 4.398608315669680358e-01 3.220000000000000000e+05 -7.141514582862004801e+00 1.147712372227445599e+01 4.477107602528528907e-01
5.999999999999999778e-02 5.930695348621188856e+00 8.364822210502782796e-02 1.260000000000000000e+05 1.208377831027018168e+01 4.812686491988665272e-01 3.864000000000000000e+05 -7.141514582862004801e+00 1.087295907602936396e+01 4.884839176094067925e-01
7.000000000000000666e-02 5.920262645856501749e+00 8.793015583485924713e-02 1.470000000000000000e+05 1.191486113021991322e+01 4.231010103829648261e-01 4.508000000000000000e+05 -7.141514582862004801e+00 1.069360919321441017e+01 4.321413857665432623e-01
8.000000000000000167e-02 5.909639720106089733e+00 9.744123668792450954e-02 1.680000000000000000e+05 1.170442213684636457e+01 3.906681321760412384e-01 5.152000000000000000e+05 -7.141514582862004801e+00 1.047254727409044861e+01 4.026367893091600259e-01
8.999999999999999667e-02 5.937794157886478352e+00 1.015982844612164926e-01 1.890000000000000000e+05 1.170938329329722549e+01 3.875650902686745281e-01 5.796000000000000000e+05 -7.141514582862004801e+00 1.050566286832169993e+01 4.006605927720220950e-01
1.000000000000000056e-01 5.953122904891838374e+00 1.051307367339393978e-01 2.100000000000000000e+05 1.172346031966555735e+01 3.662706562273982946e-01 6.440000000000000000e+05 -7.141514582862004801e+00 1.053506864169539270e+01 3.810599236596127204e-01
